cat compatible-fullstack-versions.txt 
Compatible full-stack dependency sets:
3.0.0 6.10.0 16.1.0 18.2.0 18.2.0
3.0.0 6.10.0 16.1.0 18.3.0 18.2.0
3.0.0 6.10.0 16.1.0 18.3.0 18.3.0
3.0.0 6.10.0 16.1.2 18.2.0 18.2.0
3.0.0 6.10.0 16.1.2 18.3.0 18.2.0
3.0.0 6.10.0 16.1.2 18.3.0 18.3.0
3.0.0 6.11.0 16.1.0 18.2.0 18.2.0
3.0.0 6.11.0 16.1.0 18.3.0 18.2.0
3.0.0 6.11.0 16.1.0 18.3.0 18.3.0
3.0.0 6.11.0 16.1.2 18.2.0 18.2.0
3.0.0 6.11.0 16.1.2 18.3.0 18.2.0
3.0.0 6.11.0 16.1.2 18.3.0 18.3.0
3.1.0 6.10.0 16.1.0 18.2.0 18.2.0
3.1.0 6.10.0 16.1.0 18.3.0 18.2.0
3.1.0 6.10.0 16.1.0 18.3.0 18.3.0
3.1.0 6.10.0 16.1.2 18.2.0 18.2.0
3.1.0 6.10.0 16.1.2 18.3.0 18.2.0
3.1.0 6.10.0 16.1.2 18.3.0 18.3.0
3.1.0 6.11.0 16.1.0 18.2.0 18.2.0
3.1.0 6.11.0 16.1.0 18.3.0 18.2.0
3.1.0 6.11.0 16.1.0 18.3.0 18.3.0
3.1.0 6.11.0 16.1.2 18.2.0 18.2.0
3.1.0 6.11.0 16.1.2 18.3.0 18.2.0
3.1.0 6.11.0 16.1.2 18.3.0 18.3.0
3.1.4 6.10.0 16.1.0 18.2.0 18.2.0
3.1.4 6.10.0 16.1.0 18.3.0 18.2.0
3.1.4 6.10.0 16.1.0 18.3.0 18.3.0
3.1.4 6.10.0 16.1.2 18.2.0 18.2.0
3.1.4 6.10.0 16.1.2 18.3.0 18.2.0
3.1.4 6.10.0 16.1.2 18.3.0 18.3.0
3.1.4 6.11.0 16.1.0 18.2.0 18.2.0
3.1.4 6.11.0 16.1.0 18.3.0 18.2.0
3.1.4 6.11.0 16.1.0 18.3.0 18.3.0
3.1.4 6.11.0 16.1.2 18.2.0 18.2.0
3.1.4 6.11.0 16.1.2 18.3.0 18.2.0
3.1.4 6.11.0 16.1.2 18.3.0 18.3.0
